datesold,test,pred
2018-08-01,629654.4242424242,600510.1454046444
2018-09-01,631120.6666666666,592441.2519888355
2018-10-01,633183.6734693878,578715.2343174872
2018-11-01,619817.619047619,580551.3169912882
2018-12-01,653314.0243902439,570868.5545729289
2019-01-01,630606.3829787234,557107.0555376547
2019-02-01,610156.8656716418,563767.1826327689
2019-03-01,627037.9746835442,562121.982421177
2019-04-01,637188.3928571428,562385.6843658184
2019-05-01,609584.6774193548,558359.1874974788
2019-06-01,638709.6774193548,554024.6037605254
2019-07-01,605833.1521739131,555027.4345088667
