datesold,price
2007-02-01,290000.0
2007-03-01,319000.0
2007-04-01,399000.0
2007-05-01,339500.0
2007-06-01,345000.0
2007-07-01,517562.5
2007-08-01,499850.0
2007-09-01,501000.0
2007-10-01,426642.85714285716
2007-11-01,490642.85714285716
2007-12-01,448181.8181818182
2008-01-01,449000.0
2008-02-01,431600.0
2008-03-01,492500.0
2008-04-01,439055.55555555556
2008-05-01,484125.0
2008-06-01,479839.28571428574
2008-07-01,442384.6153846154
2008-08-01,402480.0
2008-09-01,439236.5853658537
2008-10-01,434979.26829268294
2008-11-01,460670.9090909091
2008-12-01,421293.47826086957
2009-01-01,413208.1395348837
2009-02-01,397925.0
2009-03-01,460189.1891891892
2009-04-01,430385.57692307694
2009-05-01,420903.2181818182
2009-06-01,460717.64705882355
2009-07-01,451047.61904761905
2009-08-01,429873.9130434783
2009-09-01,447053.3898305085
2009-10-01,470778.046875
2009-11-01,467959.8181818182
2009-12-01,492219.1666666667
2010-01-01,445957.14285714284
2010-02-01,506450.0
2010-03-01,468835.66071428574
2010-04-01,520292.85714285716
2010-05-01,503674.1935483871
2010-06-01,467835.0
2010-07-01,492361.45098039217
2010-08-01,498502.8064516129
2010-09-01,504771.6666666667
2010-10-01,526412.3076923077
2010-11-01,507377.02702702704
2010-12-01,513077.34375
2011-01-01,461362.63157894736
2011-02-01,506361.20588235295
2011-03-01,525366.2727272727
2011-04-01,497184.92063492065
2011-05-01,523430.1081081081
2011-06-01,578706.5909090909
2011-07-01,519037.5
2011-08-01,528032.7868852459
2011-09-01,501223.5294117647
2011-10-01,491631.1475409836
2011-11-01,523167.40506329114
2011-12-01,480200.3076923077
2012-01-01,483744.44444444444
2012-02-01,501746.6216216216
2012-03-01,492798.1927710843
2012-04-01,483918.8103448276
2012-05-01,484450.73529411765
2012-06-01,480891.8181818182
2012-07-01,510679.8474576271
2012-08-01,466341.3333333333
2012-09-01,529166.4179104478
2012-10-01,520819.69863013696
2012-11-01,530983.1904761905
2012-12-01,505861.1111111111
2013-01-01,491602.1224489796
2013-02-01,483483.75
2013-03-01,520100.0
2013-04-01,507822.6119402985
2013-05-01,512705.9210526316
2013-06-01,486264.30379746837
2013-07-01,512277.1214953271
2013-08-01,477284.3820224719
2013-09-01,489572.7272727273
2013-10-01,523892.6666666667
2013-11-01,490852.0202020202
2013-12-01,524633.5714285715
2014-01-01,494628.9534883721
2014-02-01,506257.5048543689
2014-03-01,518245.1923076923
2014-04-01,505459.3137254902
2014-05-01,532955.612244898
2014-06-01,497936.25
2014-07-01,503693.9534883721
2014-08-01,531515.5172413794
2014-09-01,503860.9756097561
2014-10-01,526231.7642276423
2014-11-01,543289.1608391608
2014-12-01,531492.9696969697
2015-01-01,484248.6111111111
2015-02-01,522260.26785714284
2015-03-01,588581.9672131147
2015-04-01,531717.8571428572
2015-05-01,577037.376
2015-06-01,513110.1030927835
2015-07-01,527015.9345794392
2015-08-01,554016.6129032258
2015-09-01,530171.7105263158
2015-10-01,576822.2551724138
2015-11-01,583619.8630136986
2015-12-01,566501.8181818182
2016-01-01,514635.48387096776
2016-02-01,558629.7214285714
2016-03-01,566588.0666666667
2016-04-01,582029.85
2016-05-01,539813.75
2016-06-01,554178.6516853933
2016-07-01,564618.6744186047
2016-08-01,566015.173553719
2016-09-01,634615.2910447761
2016-10-01,569614.7651515151
2016-11-01,661734.076433121
2016-12-01,604177.1523178808
2017-01-01,523864.28571428574
2017-02-01,615497.2253521127
2017-03-01,617934.9315068494
2017-04-01,621809.92481203
2017-05-01,620594.5869565217
2017-06-01,609377.2389380531
2017-07-01,603252.5510204082
2017-08-01,603182.44
2017-09-01,614193.8531468532
2017-10-01,600612.4113475177
2017-11-01,633972.4408602151
2017-12-01,625185.9712230216
2018-01-01,593738.4883720931
2018-02-01,627142.6690140845
2018-03-01,629880.6896551724
2018-04-01,645611.407079646
2018-05-01,630602.4402515723
2018-06-01,612587.1559633027
2018-07-01,626589.4736842106
2018-08-01,629654.4242424242
2018-09-01,631120.6666666666
2018-10-01,633183.6734693878
2018-11-01,619817.619047619
2018-12-01,653314.0243902439
2019-01-01,630606.3829787234
2019-02-01,610156.8656716418
2019-03-01,627037.9746835442
2019-04-01,637188.3928571428
2019-05-01,609584.6774193548
2019-06-01,638709.6774193548
2019-07-01,605833.1521739131
